zip_code,lat,lng,housing_score,tax_score,healthcare_score,overall_score,borough,transit_score,social_score,grocery_score,data_quality,rental_count
11414,40.65818,-73.8448,90,73.85410489,31.76954955,71,Queens,0,0,0,Housing Only,0
11415,40.70808,-73.82801,94,72.13577214,31.94954955,73,Queens,0,0,0,Housing Only,0
11416,40.68458,-73.84967,88,87.02702703,30.04954955,73,Queens,0,0,0,Housing Only,0
11417,40.67641,-73.84455,88,84.96055864,30.62954955,72,Queens,0,0,0,Housing Only,0
11418,40.70032,-73.83603,88,88.89265441,23.48096447,72,Queens,0,0,0,Housing Only,0
11419,40.68863,-73.82302,87,89.18918919,30.58954955,73,Queens,0,0,0,Housing Only,0
11420,40.67352,-73.8177,88,88.0999181,30.66954955,73,Queens,0,0,0,Housing Only,0
11421,40.69403,-73.85865,88,86.17574794,29.94954955,73,Queens,0,0,0,Housing Only,0
11422,40.66053,-73.73658,88,93.86320782,31.56954955,75,Queens,0,0,0,Housing Only,0
11423,40.71564,-73.76826,86,88.6977887,31.28954955,73,Queens,0,0,0,Housing Only,0
11424,40.71397,-73.82809,92,76.11691428,0.0,65,Queens,0,0,0,Housing Only,0
11426,40.73641,-73.7223,87,59.84165984,31.90954955,66,Queens,0,0,0,Housing Only,0
11427,40.73094,-73.74569,87,72.70185546,31.48954955,69,Queens,0,0,0,Housing Only,0
11428,40.72099,-73.74222,87,89.34713935,31.02954955,74,Queens,0,0,0,Housing Only,0
11429,40.70958,-73.73843,88,95.12379512,31.26954955,75,Queens,0,0,0,Housing Only,0
11430,40.64703,-73.78717,92,76.11691428,29.92954955,72,Queens,0,0,0,Housing Only,0
11432,40.71491,-73.79295,85,86.78132678,22.08604541,70,Queens,0,0,0,Housing Only,0
11433,40.69805,-73.78675,88,93.68199368,30.46954955,75,Queens,0,0,0,Housing Only,0
11434,40.67683,-73.77623,88,93.44214344,31.36954955,75,Queens,0,0,0,Housing Only,0
11435,40.70111,-73.80968,91,89.15408915,30.44954955,75,Queens,0,0,0,Housing Only,0
11436,40.67587,-73.79664,89,91.0958231,30.96954955,75,Queens,0,0,0,Housing Only,0
11439,40.72195,-73.79455,92,76.11691428,0.0,65,Queens,0,0,0,Housing Only,0
11451,40.7012,-73.79579,92,76.11691428,0.0,65,Queens,0,0,0,Housing Only,0
11501,40.74629,-73.63921,86,79.26289926,32.32954955,71,Queens,0,0,0,Housing Only,0
11507,40.77082,-73.6521,82,40.6019656,32.90954955,59,Queens,0,0,0,Housing Only,0
11509,40.58872,-73.7286,76,76.11691428,33.12954955,65,Queens,0,0,0,Housing Only,0
11510,40.65027,-73.60809,88,81.52975109,32.26954955,72,Queens,0,0,0,Housing Only,0
11514,40.74979,-73.61298,86,82.06388206,32.12954955,71,Queens,0,0,0,Housing Only,0
11516,40.6258,-73.7263,80,64.72446472,32.66954955,64,Queens,0,0,0,Housing Only,0
11518,40.63772,-73.66691,88,65.43816544,32.68954955,68,Queens,0,0,0,Housing Only,0
11520,40.65007,-73.58305,89,88.83473638,30.66954955,74,Queens,0,0,0,Housing Only,0
11530,40.72716,-73.63654,79,64.47463506,33.22954955,64,Queens,0,0,0,Housing Only,0
11542,40.87073,-73.62879,87,74.63310977,65.88671016,78,Queens,0,0,0,Housing Only,0
11545,40.82685,-73.58853,74,28.5012285,33.08954955,52,Queens,0,0,0,Housing Only,0
11547,40.82881,-73.64505,84,76.11691428,33.00954955,69,Queens,0,0,0,Housing Only,0
11548,40.81414,-73.6097,81,76.11691428,32.54954955,68,Queens,0,0,0,Housing Only,0
11549,40.71896,-73.59973,92,76.11691428,32.46954955,73,Queens,0,0,0,Housing Only,0
11550,40.70158,-73.62039,90,96.4987715,29.72954955,76,Queens,0,0,0,Housing Only,0
11552,40.6916,-73.65073,87,74.3980344,32.22954955,70,Queens,0,0,0,Housing Only,0
11553,40.70529,-73.5923,89,95.62127062,30.40954955,76,Queens,0,0,0,Housing Only,0
11554,40.71974,-73.56044,87,69.28746929,25.24594464,67,Queens,0,0,0,Housing Only,0
11556,40.71997,-73.58327,92,76.11691428,0.0,65,Queens,0,0,0,Housing Only,0
11557,40.63723,-73.6921,84,53.71900826,32.82954955,63,Queens,0,0,0,Housing Only,0
11558,40.60539,-73.64952,88,82.84193284,32.00954955,72,Queens,0,0,0,Housing Only,0
11559,40.60615,-73.71688,67,73.46437346,32.68954955,60,Queens,0,0,0,Housing Only,0
11560,40.88068,-73.59057,79,34.97133497,32.80954955,56,Queens,0,0,0,Housing Only,0
11561,40.58969,-73.64455,86,66.50658923,32.56954955,68,Queens,0,0,0,Housing Only,0
11563,40.65746,-73.67408,88,72.57607258,32.52954955,70,Queens,0,0,0,Housing Only,0
11565,40.67505,-73.67177,87,73.01392301,32.88954955,70,Queens,0,0,0,Housing Only,0
11566,40.66307,-73.55407,86,47.44905333,33.04954955,63,Queens,0,0,0,Housing Only,0
11568,40.78659,-73.59719,52,24.32432432,32.76954955,40,Queens,0,0,0,Housing Only,0
11569,40.5903,-73.58046,79,76.11691428,33.28954955,66,Queens,0,0,0,Housing Only,0
11570,40.66504,-73.63882,84,72.16360746,32.86954955,68,Queens,0,0,0,Housing Only,0
